"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 10 19:15:06 GMT 2024","Tue Sep 10 19:15:06 GMT 2024","0","","go-actions","","go-actions","","TestOnlyOnMac",""
"passed","Tue Sep 10 19:15:06 GMT 2024","Tue Sep 10 19:15:06 GMT 2024","0","","go-actions","","go-actions","","TestOnlyOnLinux",""
"passed","Tue Sep 10 19:15:06 GMT 2024","Tue Sep 10 19:15:06 GMT 2024","0","","go-actions","","go-actions","","TestOnlyOnMac2",""
